,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
866,"Pectin, dry mix, unsweetened",100 g,325,0.3g,0.1g,0,200.00 mg,0,1.00 mcg,0.00 mcg,0.005 mg,0.110 mg,0.060 mg,0.008 mg,3.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.010 mg,0.0 mg,0,0,0,0,7.00 mg,0.420 mg,2.71 mg,1.00 mg,0.070 mg,2.00 mg,7.00 mg,0.0 mcg,0.47 mg,0.30 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.40 g,8.6 g,0,0,0,0,0,0,0,0.30 g,0.050 g,0.010 g,0.090 g,0.00 mg,0.0 g,0.30 g,0,0,8.70 g
867,"Candies, CARAMELLO Candy Bar",100 g,462,21g,13g,27mg,122.00 mg,0,0,0,0,0,0,0,303.00 IU,0,0,0,0,0,0,0,0,1.7 mg,0,0,0,0,213.00 mg,0,1.09 mg,0,0,150.00 mg,341.00 mg,0,0,6.19 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.81 g,1.2 g,56.92 g,0,0,0,0,0,0,21.19 g,12.720 g,5.290 g,0.630 g,27.00 mg,0,1.46 g,0,0,6.79 g
868,"Veal, raw, external fat only",100 g,503,52g,19g,86mg,89.00 mg,32.0 mg,0.00 mcg,0.00 mcg,2.780 mg,0.260 mg,0.090 mg,0.035 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.35 mcg,0.154 mg,0.0 mg,220.00 IU,0.30 mg,0.30 mg,2.8 mcg,31.00 mg,0.045 mg,0.73 mg,19.00 mg,0.008 mg,133.00 mg,107.00 mg,5.2 mcg,0.83 mg,8.85 g,0.526 g,0.520 g,0.763 g,0.100 g,1.399 g,0.455 g,0.321 g,0.060 g,0.436 g,0.704 g,0.729 g,0.206 g,0.357 g,0.369 g,0.331 g,0.387 g,0.090 g,0.282 g,0.489 g,0.89 g,0.0 g,0.00 g,0,0,0,0,0,0,51.60 g,19.082 g,24.815 g,1.631 g,86.00 mg,0.0 g,0.47 g,0.00 mg,0.00 mg,38.19 g
869,"Seeds, raw, breadfruit seeds",100 g,191,5.6g,1.5g,0,25.00 mg,0,53.00 mcg,0.00 mcg,0.438 mg,0.877 mg,0.301 mg,0.482 mg,256.00 IU,13.00 mcg,0,0,0,0,0,0.00 mcg,0.320 mg,6.6 mg,0.00 IU,0,0,0,36.00 mg,1.148 mg,3.67 mg,54.00 mg,0.142 mg,175.00 mg,941.00 mg,0,0.90 mg,7.40 g,0.336 g,0.494 g,0.817 g,0.116 g,1.036 g,0.465 g,0.207 g,0,0.443 g,0.563 g,0.570 g,0.096 g,0.797 g,0.369 g,0.496 g,0.385 g,0.123 g,0.544 g,0.535 g,29.24 g,5.2 g,0,0,0,0,0,0,0,5.59 g,1.509 g,0.712 g,2.977 g,0.00 mg,0,1.50 g,0,0,56.27 g
870,"Mushrooms, stir-fried, white",100 g,26,0.3g,,0,12.00 mg,21.9 mg,20.00 mcg,0.00 mcg,3.987 mg,1.450 mg,0.463 mg,0.096 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.042 mg,0.0 mg,8.00 IU,0.00 mg,0.00 mg,0.0 mcg,4.00 mg,0.291 mg,0.25 mg,11.00 mg,0.047 mg,105.00 mg,396.00 mg,13.9 mcg,0.57 mg,3.58 g,0.215 g,0.084 g,0.211 g,0.013 g,0.371 g,0.099 g,0.061 g,0,0.082 g,0.130 g,0.116 g,0.034 g,0.092 g,0.082 g,0.102 g,0.116 g,0.037 g,0.047 g,0.251 g,4.04 g,1.8 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.33 g,0.040 g,0.000 g,0.160 g,0.00 mg,0.0 g,0.94 g,0.00 mg,0.00 mg,91.10 g
871,"Snacks, rolls, fruit leather",100 g,371,3g,0.7g,0,317.00 mg,13.2 mg,2.00 mcg,0.00 mcg,0.100 mg,0.029 mg,0.020 mg,0.084 mg,57.00 IU,6.00 mcg,1.00 mcg,34.00 mcg,0.00 mcg,41.00 mcg,0,0.00 mcg,0.300 mg,120.0 mg,0.00 IU,0.56 mg,0.56 mg,18.2 mcg,32.00 mg,0.171 mg,1.01 mg,20.00 mg,0.184 mg,31.00 mg,294.00 mg,0.4 mcg,0.19 mg,0.10 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.80 g,0.0 g,49.16 g,0,0,0,0,0,0,3.00 g,0.672 g,1.480 g,0.552 g,0.00 mg,0.0 g,0.90 g,0.00 mg,0.00 mg,10.20 g
872,"Sauce, thin, white, homemade",100 g,105,6.7g,2.2g,8mg,328.00 mg,14.1 mg,9.00 mcg,4.00 mcg,0.261 mg,0.339 mg,0.184 mg,0.055 mg,262.00 IU,73.00 mcg,0.00 mcg,13.00 mcg,0.00 mcg,1.00 mcg,0,0.30 mcg,0.041 mg,0.8 mg,49.00 IU,0.17 mg,0.17 mg,0.6 mcg,126.00 mg,0.013 mg,0.21 mg,15.00 mg,0.024 mg,101.00 mg,163.00 mg,3.3 mcg,0.42 mg,3.77 g,0.112 g,0.118 g,0.248 g,0.030 g,0.684 g,0.069 g,0.089 g,0,0.198 g,0.320 g,0.259 g,0.082 g,0.157 g,0.316 g,0.177 g,0.147 g,0.046 g,0.157 g,0.219 g,7.40 g,0.1 g,4.78 g,0,0,0,0,0,0,6.73 g,2.152 g,2.670 g,1.586 g,8.00 mg,0.0 g,1.45 g,0.00 mg,0.00 mg,80.66 g
873,"Sauce, ready-to-serve, salsa",100 g,29,0.2g,,0,711.00 mg,12.8 mg,4.00 mcg,0.00 mcg,1.091 mg,0.199 mg,0.032 mg,0.033 mg,461.00 IU,23.00 mcg,0.00 mcg,276.00 mcg,0.00 mcg,204.00 mcg,0,0.00 mcg,0.172 mg,1.9 mg,0.00 IU,1.28 mg,1.28 mg,4.3 mcg,30.00 mg,0.066 mg,0.42 mg,15.00 mg,0.112 mg,33.00 mg,275.00 mg,0.9 mcg,0.18 mg,1.52 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64 g,1.9 g,4.01 g,2.12 g,0.00 g,1.65 g,0.00 g,0.00 g,0.25 g,0.17 g,0.021 g,0.018 g,0.078 g,0.00 mg,0.0 g,2.39 g,0.00 mg,0.00 mg,89.28 g
874,"Peppers, raw, red, hot chili",100 g,40,0.4g,,0,9.00 mg,10.9 mg,23.00 mcg,0.00 mcg,1.244 mg,0.201 mg,0.086 mg,0.072 mg,952.00 IU,48.00 mcg,36.00 mcg,534.00 mcg,40.00 mcg,709.00 mcg,0,0.00 mcg,0.506 mg,143.7 mg,0.00 IU,0.69 mg,0.69 mg,14.0 mcg,14.00 mg,0.129 mg,1.03 mg,23.00 mg,0.187 mg,43.00 mg,322.00 mg,0.5 mcg,0.26 mg,1.87 g,0.082 g,0.096 g,0.286 g,0.038 g,0.264 g,0.074 g,0.041 g,0,0.065 g,0.105 g,0.089 g,0.024 g,0.062 g,0.087 g,0.080 g,0.074 g,0.026 g,0.042 g,0.084 g,8.81 g,1.5 g,5.30 g,0,0,0,0,0,0,0.44 g,0.042 g,0.024 g,0.239 g,0.00 mg,0.0 g,0.87 g,0.00 mg,0.00 mg,88.02 g
875,"Squash, raw, scallop, summer",100 g,18,0.2g,,0,1.00 mg,7.3 mg,30.00 mcg,0.00 mcg,0.600 mg,0.102 mg,0.030 mg,0.070 mg,217.00 IU,11.00 mcg,0.00 mcg,130.00 mcg,0.00 mcg,2308.00 mcg,0,0.00 mcg,0.109 mg,18.0 mg,0.00 IU,0.13 mg,0.13 mg,3.3 mcg,19.00 mg,0.102 mg,0.40 mg,23.00 mg,0.157 mg,36.00 mg,182.00 mg,0.2 mcg,0.29 mg,1.20 g,0.063 g,0.051 g,0.147 g,0.013 g,0.129 g,0.045 g,0.026 g,0,0.043 g,0.070 g,0.067 g,0.017 g,0.042 g,0.038 g,0.049 g,0.029 g,0.011 g,0.032 g,0.054 g,3.84 g,1.2 g,2.39 g,0,0,0,0,0,0,0.20 g,0.041 g,0.015 g,0.084 g,0.00 mg,0.0 g,0.58 g,0.00 mg,0.00 mg,94.18 g
876,"Currants, raw, red and white",100 g,56,0.2g,,0,1.00 mg,7.6 mg,8.00 mcg,0.00 mcg,0.100 mg,0.064 mg,0.050 mg,0.040 mg,42.00 IU,2.00 mcg,0.00 mcg,25.00 mcg,0.00 mcg,47.00 mcg,0,0.00 mcg,0.070 mg,41.0 mg,0.00 IU,0.10 mg,0.10 mg,11.0 mcg,33.00 mg,0.107 mg,1.00 mg,13.00 mg,0.186 mg,44.00 mg,275.00 mg,0.6 mcg,0.23 mg,1.40 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.80 g,4.3 g,7.37 g,3.53 g,0,3.22 g,0,0,0.61 g,0.20 g,0.017 g,0.028 g,0.088 g,0.00 mg,0.0 g,0.66 g,0.00 mg,0.00 mg,83.95 g
877,"Crustaceans, raw, blue, crab",100 g,87,1.1g,0.2g,78mg,293.00 mg,0,44.00 mcg,0.00 mcg,2.700 mg,0.350 mg,0.040 mg,0.080 mg,5.00 IU,2.00 mcg,0,0,0,0,0,9.00 mcg,0.150 mg,3.0 mg,0,0,0,0,89.00 mg,0.669 mg,0.74 mg,34.00 mg,0.150 mg,229.00 mg,329.00 mg,37.4 mcg,3.54 mg,18.06 g,1.023 g,1.577 g,1.866 g,0.202 g,3.080 g,1.089 g,0.367 g,0,0.875 g,1.433 g,1.572 g,0.508 g,0.763 g,0.595 g,0.711 g,0.731 g,0.251 g,0.601 g,0.849 g,0.04 g,0.0 g,0,0,0,0,0,0,0,1.08 g,0.222 g,0.192 g,0.387 g,78.00 mg,0.0 g,1.81 g,0,0,79.02 g
878,"Pie fillings, cherry, canned",100 g,115,0.1g,,0,18.00 mg,0,4.00 mcg,0.00 mcg,0.140 mg,0.063 mg,0.016 mg,0.025 mg,205.00 IU,10.00 mcg,0,0,0,0,0,0.00 mcg,0.037 mg,3.6 mg,0.00 IU,0,0,0,11.00 mg,0.080 mg,0.24 mg,7.00 mg,0.030 mg,15.00 mg,105.00 mg,0.4 mcg,0.05 mg,0.37 g,0.013 g,0.007 g,0.247 g,0.002 g,0.017 g,0.010 g,0.006 g,0,0.009 g,0.013 g,0.016 g,0.002 g,0.008 g,0.014 g,0.014 g,0.009 g,0.002 g,0.005 g,0.012 g,28.00 g,0.6 g,0,0,0,0,0,0,0,0.07 g,0.018 g,0.021 g,0.021 g,0.00 mg,0,0.20 g,0,0,71.23 g
879,"Yogurt, nonfat, plain, Greek",100 g,59,0.4g,0.1g,5mg,36.00 mg,15.1 mg,7.00 mcg,0.00 mcg,0.208 mg,0.331 mg,0.278 mg,0.023 mg,4.00 IU,1.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.75 mcg,0.063 mg,0.0 mg,0.00 IU,0.01 mg,0.01 mg,0.0 mcg,110.00 mg,0.017 mg,0.07 mg,11.00 mg,0.009 mg,135.00 mg,141.00 mg,9.7 mcg,0.52 mg,10.19 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60 g,0.0 g,3.24 g,0.00 g,0.70 g,0.00 g,2.54 g,0.00 g,0.00 g,0.39 g,0.117 g,0.053 g,0.012 g,5.00 mg,0.0 g,0.72 g,0.00 mg,0.00 mg,85.10 g
880,"Crackers, reduced fat, wheat",100 g,444,13g,2.1g,0,776.00 mg,29.5 mg,127.00 mcg,100.00 mcg,5.123 mg,0.510 mg,0.270 mg,0.625 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,86.00 mcg,0,0.14 mcg,0.150 mg,0.0 mg,0.00 IU,1.18 mg,1.18 mg,24.7 mcg,80.00 mg,0.223 mg,5.02 mg,47.00 mg,2.127 mg,258.00 mg,210.00 mg,10.4 mcg,1.74 mg,9.34 g,0.366 g,0.427 g,0.508 g,0.193 g,2.726 g,0.386 g,0.203 g,0,0.330 g,0.620 g,0.188 g,0.142 g,0.427 g,0.900 g,0.407 g,0.280 g,0.112 g,0.168 g,0.417 g,71.52 g,3.4 g,15.01 g,0.88 g,0.00 g,1.55 g,0.00 g,3.34 g,9.24 g,13.37 g,2.112 g,3.295 g,7.055 g,0.00 mg,0.0 g,3.04 g,0.00 mg,0.00 mg,2.73 g
881,"Gravy, powder, dry, mushroom",100 g,328,4g,2.4g,3mg,6580.00 mg,24.4 mg,31.00 mcg,17.00 mcg,3.700 mg,0.100 mg,0.400 mg,0.200 mg,1.00 IU,0.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,9.00 mcg,0,0.70 mcg,0.100 mg,7.0 mg,0.00 IU,0.15 mg,0.15 mg,0.2 mcg,230.00 mg,0.535 mg,1.00 mg,34.00 mg,0.400 mg,203.00 mg,262.00 mg,5.3 mcg,1.54 mg,10.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.66 g,4.8 g,3.26 g,0,0,0,0,0,0,4.00 g,2.360 g,1.310 g,0.140 g,3.00 mg,0.0 g,18.00 g,0.00 mg,0.00 mg,3.34 g
882,"Gravy, dry, unspecified type",100 g,344,8g,2.9g,4mg,5730.00 mg,0,31.00 mcg,17.00 mcg,3.700 mg,0.100 mg,0.432 mg,0.200 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.70 mcg,0.100 mg,7.0 mg,0,0,0,0,150.00 mg,0.100 mg,1.00 mg,45.00 mg,0.400 mg,203.00 mg,262.00 mg,6.1 mcg,1.40 mg,13.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.00 g,0,0,0,0,0,0,0,0,8.00 g,2.860 g,3.150 g,1.620 g,4.00 mg,0,17.00 g,0,0,4.00 g
883,"Seeds, low-fat, sesame flour",100 g,333,1.8g,0.2g,0,39.00 mg,0,29.00 mcg,0.00 mcg,12.533 mg,2.745 mg,0.269 mg,2.516 mg,64.00 IU,3.00 mcg,0,0,0,0,0,0.00 mcg,0.142 mg,0.0 mg,0.00 IU,0,0,0,149.00 mg,1.425 mg,14.22 mg,338.00 mg,1.396 mg,757.00 mg,397.00 mg,0,10.00 mg,50.14 g,2.620 g,7.436 g,4.654 g,1.012 g,11.182 g,3.434 g,1.476 g,0,2.157 g,3.841 g,1.608 g,1.656 g,2.658 g,2.289 g,2.734 g,2.081 g,1.097 g,2.100 g,2.800 g,35.51 g,0,0,0,0,0,0,0,0,1.75 g,0.201 g,0.543 g,0.630 g,0.00 mg,0,5.50 g,0,0,7.10 g
884,"Mushrooms, microwaved, white",100 g,35,0.5g,0.1g,0,17.00 mg,30.3 mg,16.00 mcg,0.00 mcg,5.350 mg,1.960 mg,0.431 mg,0.060 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.049 mg,0.0 mg,11.00 IU,0.00 mg,0.00 mg,0.0 mcg,6.00 mg,0.370 mg,0.33 mg,14.00 mg,0.064 mg,127.00 mg,488.00 mg,18.0 mcg,0.73 mg,3.91 g,0.227 g,0.089 g,0.222 g,0.014 g,0.391 g,0.104 g,0.065 g,0,0.086 g,0.137 g,0.123 g,0.036 g,0.097 g,0.087 g,0.108 g,0.122 g,0.039 g,0.050 g,0.265 g,6.04 g,2.5 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.46 g,0.060 g,0.020 g,0.280 g,0.00 mg,0.0 g,1.08 g,0.00 mg,0.00 mg,88.52 g
885,"Beverages, AMP, Energy drink",100 g,46,0.1g,,0,27.00 mg,0.3 mg,0.00 mcg,0.00 mcg,2.000 mg,1.000 mg,0.340 mg,0.025 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.60 mcg,0.200 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,13.00 mg,0.005 mg,0.02 mg,3.00 mg,0,17.00 mg,3.00 mg,0.2 mcg,0.00 mg,0.25 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.08 g,0.0 g,12.08 g,0,0,0,0,0,0,0.08 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.28 g,31.00 mg,0.00 mg,87.30 g
886,SILK Black Cherry soy yogurt,100 g,88,1.2g,,0,12.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,17.6 mg,0,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06 g,0.6 g,11.76 g,0,0,0,0,0,0,1.18 g,0.000 g,0,0,0.00 mg,0,1.24 g,0,0,78.18 g
887,"Snack, original bar, BALANCE",100 g,415,12g,1.1g,1mg,253.00 mg,91.2 mg,126.00 mcg,0.00 mcg,8.991 mg,0.702 mg,1.708 mg,1.628 mg,5000.00 IU,1496.00 mcg,0.00 mcg,10.00 mcg,0.00 mcg,0.00 mcg,0,1.24 mcg,0.890 mg,11.2 mg,65.00 IU,5.84 mg,5.84 mg,1.3 mcg,543.00 mg,0.771 mg,10.90 mg,119.00 mg,0.712 mg,465.00 mg,678.00 mg,23.3 mcg,3.52 mg,28.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.73 g,3.1 g,34.89 g,0,0,0,0,0,0,12.00 g,1.149 g,8.115 g,1.969 g,1.00 mg,0.0 g,3.51 g,4.00 mg,47.00 mg,7.76 g
888,"Beverages, well, tap, water",100 g,0,0g,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0,0,0,0,0,0,0,0.00 g,0,0,0,0,0,0.10 g,0,0,99.90 g
889,"Chrysanthemum, raw, garland",100 g,24,0.6g,,0,118.00 mg,0,177.00 mcg,0.00 mcg,0.531 mg,0.221 mg,0.144 mg,0.130 mg,2320.00 IU,116.00 mcg,0.00 mcg,1380.00 mcg,24.00 mcg,3834.00 mcg,0,0.00 mcg,0.176 mg,1.4 mg,0.00 IU,0,0,350.0 mcg,117.00 mg,0.137 mg,2.29 mg,32.00 mg,0.943 mg,54.00 mg,567.00 mg,0,0.71 mg,3.36 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02 g,3.0 g,0,0,0,0,0,0,0,0.56 g,0,0,0,0.00 mg,0,1.67 g,0,0,91.40 g
890,"Stew, moose (Alaska Native)",100 g,55,0.5g,,0,222.00 mg,0,5.00 mcg,0,1.500 mg,0.040 mg,0.080 mg,0.060 mg,1043.00 IU,0,0,0,0,0,0,0,0.030 mg,1.0 mg,0,0,0,0,12.00 mg,0.020 mg,1.52 mg,6.00 mg,0.090 mg,16.00 mg,100.00 mg,0,0.12 mg,6.60 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00 g,0.5 g,0,0,0,0,0,0,0,0.50 g,0.010 g,0.010 g,0.020 g,0,0,0.80 g,0,0,86.10 g
891,"Ice creams, rich, chocolate",100 g,251,17g,10g,60mg,57.00 mg,34.7 mg,5.00 mcg,0.00 mcg,0.182 mg,0.336 mg,0.167 mg,0.030 mg,713.00 IU,201.00 mcg,0.00 mcg,31.00 mcg,0.00 mcg,2.00 mcg,0,0.18 mcg,0.033 mg,0.5 mg,12.00 IU,0.46 mg,0.46 mg,1.5 mcg,142.00 mg,0.175 mg,1.02 mg,32.00 mg,0.173 mg,115.00 mg,238.00 mg,2.1 mcg,0.64 mg,4.72 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.78 g,0.9 g,17.35 g,0,0,0,0,0,0,16.98 g,10.377 g,4.794 g,0.658 g,60.00 mg,0.0 g,1.00 g,4.00 mg,120.00 mg,57.52 g
892,"Oil, walrus (Alaska Native)",100 g,900,100g,,120mg,0,0,0,0,0.000 mg,0,0.000 mg,0.000 mg,2600.00 IU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 mg,0,0,0,0,0,0,0,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0,0,0,0,0,0,0,0,100.00 g,0,0,0,120.00 mg,0,0.00 g,0,0,0.00 g
893,"Grapefruit juice, raw, pink",100 g,39,0.1g,,0,1.00 mg,0,10.00 mcg,0.00 mcg,0.200 mg,0.189 mg,0.020 mg,0.040 mg,440.00 IU,22.00 mcg,0,0,0,0,0,0.00 mcg,0.044 mg,38.0 mg,0.00 IU,0,0,0,9.00 mg,0.033 mg,0.20 mg,12.00 mg,0.020 mg,15.00 mg,162.00 mg,0,0.05 mg,0.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.20 g,0,0,0,0,0,0,0,0,0.10 g,0.014 g,0.013 g,0.024 g,0.00 mg,0,0.20 g,0,0,90.00 g
894,"Babyfood, junior, ham, meat",100 g,97,3.8g,1.3g,29mg,44.00 mg,45.2 mg,2.00 mcg,0.00 mcg,2.840 mg,0.531 mg,0.194 mg,0.142 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.10 mcg,0.200 mg,2.1 mg,18.00 IU,0.40 mg,0.40 mg,0.0 mcg,5.00 mg,0.068 mg,1.01 mg,11.00 mg,0,89.00 mg,210.00 mg,15.0 mcg,1.70 mg,11.30 g,0.911 g,1.022 g,1.442 g,0.186 g,2.271 g,0.866 g,0.514 g,0,0.718 g,1.208 g,1.283 g,0.386 g,0.576 g,0.702 g,0.547 g,0.656 g,0.149 g,0.506 g,0.779 g,3.70 g,0.0 g,0.00 g,0,0,0,0,0,0,3.80 g,1.271 g,1.804 g,0.516 g,29.00 mg,0.0 g,0.70 g,0.00 mg,0.00 mg,80.50 g
895,"Radish seeds, raw, sprouted",100 g,43,2.5g,0.8g,0,6.00 mg,0,95.00 mcg,0.00 mcg,2.853 mg,0.733 mg,0.103 mg,0.102 mg,391.00 IU,20.00 mcg,0,0,0,0,0,0.00 mcg,0.285 mg,28.9 mg,0.00 IU,0,0,0,51.00 mg,0.120 mg,0.86 mg,44.00 mg,0.260 mg,113.00 mg,86.00 mg,0.6 mcg,0.56 mg,3.81 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60 g,0,0,0,0,0,0,0,0,2.53 g,0.767 g,0.419 g,1.141 g,0.00 mg,0,0.53 g,0,0,90.07 g
896,"MORI-NU, firm, silken, Tofu",100 g,62,2.7g,0.4g,0,36.00 mg,0,0,0,0.247 mg,0,0.041 mg,0.101 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.011 mg,0.0 mg,0,0,0,0,32.00 mg,0.203 mg,1.03 mg,27.00 mg,0,90.00 mg,194.00 mg,0,0.61 mg,6.90 g,0.266 g,0.517 g,0.771 g,0.100 g,1.176 g,0.268 g,0.169 g,0,0.349 g,0.586 g,0.459 g,0.106 g,0.394 g,0.349 g,0.333 g,0.286 g,0.085 g,0.299 g,0.385 g,2.40 g,0.1 g,1.27 g,0,0,0,0,0,0,2.70 g,0.406 g,0.539 g,1.485 g,0.00 mg,0,0.60 g,0,0,87.40 g
897,"MORI-NU, soft, silken, Tofu",100 g,55,2.7g,0.4g,0,5.00 mg,0,0,0,0.300 mg,0,0.040 mg,0.100 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.011 mg,0.0 mg,0,0,0,0,31.00 mg,0.207 mg,0.82 mg,29.00 mg,0,62.00 mg,180.00 mg,0,0.52 mg,4.80 g,0.193 g,0.383 g,0.550 g,0.072 g,0.801 g,0.193 g,0.117 g,0,0.233 g,0.279 g,0.341 g,0.074 g,0.303 g,0.252 g,0.238 g,0.215 g,0.068 g,0.193 g,0.295 g,2.90 g,0.1 g,1.31 g,0,0,0,0,0,0,2.70 g,0.357 g,0.522 g,1.550 g,0.00 mg,0,0.60 g,0,0,89.00 g
898,"Bread, rye, reduced-calorie",100 g,203,2.9g,0.4g,0,513.00 mg,14.6 mg,58.00 mcg,35.00 mcg,2.527 mg,0.297 mg,0.240 mg,0.367 mg,4.00 IU,0.00 mcg,0.00 mcg,2.00 mcg,1.00 mcg,37.00 mcg,0,0.04 mcg,0.077 mg,0.4 mg,0.00 IU,0.28 mg,0.28 mg,0.6 mcg,76.00 mg,0.133 mg,3.10 mg,22.00 mg,0.453 mg,78.00 mg,98.00 mg,27.9 mcg,0.66 mg,9.10 g,0.320 g,0.476 g,0.556 g,0.180 g,2.629 g,0.321 g,0.208 g,0,0.357 g,0.638 g,0.321 g,0.155 g,0.457 g,0.860 g,0.432 g,0.284 g,0.110 g,0.288 g,0.415 g,40.50 g,12.0 g,2.29 g,0,0,0,0,0,0,2.90 g,0.368 g,0.672 g,0.752 g,0.00 mg,0.0 g,1.60 g,0.00 mg,0.00 mg,46.00 g
899,"Snacks, air-popped, popcorn",100 g,387,4.5g,0.6g,0,8.00 mg,21.2 mg,31.00 mcg,0.00 mcg,2.308 mg,0.510 mg,0.083 mg,0.104 mg,196.00 IU,10.00 mcg,58.00 mcg,89.00 mcg,0.00 mcg,1450.00 mcg,0,0.00 mcg,0.157 mg,0.0 mg,0.00 IU,0.29 mg,0.29 mg,1.2 mcg,7.00 mg,0.262 mg,3.19 mg,144.00 mg,1.113 mg,358.00 mg,329.00 mg,0.0 mcg,3.08 mg,12.94 g,0.900 g,0.598 g,0.836 g,0.217 g,2.255 g,0.492 g,0.367 g,0,0.431 g,1.473 g,0.338 g,0.252 g,0.590 g,1.048 g,0.571 g,0.452 g,0.085 g,0.488 g,0.607 g,77.78 g,14.5 g,0.87 g,0.07 g,0.00 g,0.07 g,0.00 g,0.00 g,0.72 g,4.54 g,0.637 g,0.950 g,2.318 g,0.00 mg,0.0 g,1.42 g,0.00 mg,0.00 mg,3.32 g
900,"Muffins, dry mix, blueberry",100 g,293,3.3g,1.2g,0,479.00 mg,0,53.00 mcg,0,1.857 mg,0.553 mg,0.232 mg,0.232 mg,18.00 IU,1.00 mcg,0,0,0,0,0,0.00 mcg,0.082 mg,2.3 mg,0,0,0,0,18.00 mg,0.088 mg,1.62 mg,13.00 mg,0.276 mg,220.00 mg,48.00 mg,3.1 mcg,0.33 mg,3.48 g,0.147 g,0.187 g,0.205 g,0.106 g,1.596 g,0.165 g,0.099 g,0,0.184 g,0.330 g,0.168 g,0.082 g,0.229 g,0.538 g,0.255 g,0.135 g,0.069 g,0.138 g,0.213 g,61.00 g,1.4 g,32.73 g,0,0,0,0,0,0,3.25 g,1.161 g,0.696 g,1.307 g,0.00 mg,0,2.09 g,0,0,30.18 g
